,algorithm_of_vehicle_classification,algorithm_of_vehicle_classification_name,calibration_of_weighing_system,calibration_of_weighing_system_name,classification_system_for_vehicle_classification,concurrent_route_signing,concurrent_signed_route_number,direction_of_travel,direction_of_travel_name,fips_county_code,fips_state_code,functional_classification,functional_classification_name,hpms_sample_identifier,hpms_sample_type,lane_of_travel,lane_of_travel_name,latitude,longitude,lrs_identification,lrs_location_point,method_of_data_retrieval,method_of_data_retrieval_name,method_of_traffic_volume_counting,method_of_traffic_volume_counting_name,method_of_truck_weighing,method_of_truck_weighing_name,method_of_vehicle_classification,method_of_vehicle_classification_name,national_highway_system,number_of_lanes_in_direction_indicated,number_of_lanes_monitored_for_traffic_volume,number_of_lanes_monitored_for_truck_weight,number_of_lanes_monitored_for_vehicle_class,posted_route_signing,posted_signed_route_number,previous_station_id,primary_purpose,primary_purpose_name,record_type,sample_type_for_traffic_volume,sample_type_for_traffic_volume_name,sample_type_for_truck_weight,sample_type_for_truck_weight_name,sample_type_for_vehicle_classification,sample_type_for_vehicle_classification_name,second_type_of_sensor,shrp_site_identification,station_id,station_location,type_of_sensor,type_of_sensor_name,year_of_data,year_station_discontinued,year_station_established
7595,,,,,1,0,00000000,3,East,45,37,3R,Rural: Principal Arterial - Other,,N,0,Data with lanes combined,35.2962,81.6717,002000007422,5503.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,2,00000074,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A2201,0.10 MILES WEST OF SR 1162 (PE,L,Inductance loop,15,0,54
7599,,,,,15,0,00000000,5,South,127,37,1R,Rural: Principal Arterial - Interstate,,N,2,Other lanes,35.8715,77.9542,001000009563,7804.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000095,,P,Planning or traffic statistics purposes,S,,,,,,,L,6302,376302,2.60 MILES NORTH OF NC 97,P,Piezoelectric,15,8,4
7621,,,,,15,2,00000220,1,North,81,37,1R,Rural: Principal Arterial - Interstate,,N,3,Other lanes,35.9462,79.8234,001000007340,3951.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000073,,P,Planning or traffic statistics purposes,S,,,,,,,L,2819,372819,1.70 MILES NORTH OF NC 62,P,Piezoelectric,15,9,4
7627,,,,,1,0,00000000,3,East,141,37,1R,Rural: Principal Arterial - Interstate,,N,0,Data with lanes combined,34.4511,77.8773,001000004070,31303.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,2,2,1,00000040,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,7001,0W7001,0.70 MILES WEST OF NC 210,L,Inductance loop,15,0,4
7694,,,,,1,2,00000421,7,West,81,37,1U,Urban: Principal Arterial - Interstate,000000100058,Y,0,Data with lanes combined,36.0957,80.008,001000004040,3163.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,4,4,0,0,1,00000040,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A4006,AT I-40 AND I-40 BUSINESS,L,Inductance loop,15,7,93
7974,,,,,1,0,00000000,1,North,81,37,4U,Urban: Minor Arterial,,N,0,Data with lanes combined,35.9521,80.012,004000130040,3395.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,2,2,0,0,3,00001300,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A4009,0.10 MILES EAST OF GRIMES AVEN,L,Inductance loop,15,7,67
8195,,,,,1,0,00000000,5,South,119,37,5U,Urban: Collector,,N,0,Data with lanes combined,35.1527,80.8911,005000090759,842.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,7,00000000,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A5986,0.60 MILES NORTH OF NATIONS FO,L,Inductance loop,15,99,89
8275,,,,,15,2,00000220,5,South,81,37,1R,Rural: Principal Arterial - Interstate,,N,2,Other lanes,35.9462,79.8234,001000007340,3951.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000073,,P,Planning or traffic statistics purposes,S,,,,,,,L,2819,372819,1.70 MILES NORTH OF NC 65,P,Piezoelectric,15,9,4
8291,,,,,1,0,00000000,1,North,189,37,7R,Rural: Local System,,N,0,Data with lanes combined,36.2234,81.5752,004000150894,207.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,3,00001508,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A9401,0.10 MILES SOUTH OF SR 1672,L,Inductance loop,15,6,93
8346,,,,,15,2,00000021,1,North,119,37,1U,Urban: Principal Arterial - Interstate,,N,2,Other lanes,35.1222,80.9194,001000007759,2351.0,2,Automated (telemetry),0,,0,,0,,Y,3,4,4,4,1,00000077,,P,Planning or traffic statistics purposes,S,,,,,,,L,5902,375902,0.20 MILES SOUTH OF I-485,P,Piezoelectric,15,2,1
8395,,,,,1,0,00000000,5,South,71,37,1U,Urban: Principal Arterial - Interstate,000000100134,Y,0,Data with lanes combined,35.2624,81.0548,001000008535,27345.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,3,3,0,0,1,00000085,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A3503,0.70 MILES SOUTH OF SR 2093 (B,L,Inductance loop,15,7,93
8505,,,,,1,0,00000000,5,South,183,37,3U,Urban: Principal Arterial - Other,,N,0,Data with lanes combined,35.8457,78.5799,002000000191,48047.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,3,3,0,0,2,00000001,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A9103,0.10 MILES NORTH OF CALVARY DR,L,Inductance loop,15,6,93
8549,,,,,1,0,00000000,7,West,67,37,5U,Urban: Collector,,N,0,Data with lanes combined,36.0312,80.3143,004000112033,1878.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,3,00001120,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A3303,0.15 MILES EAST OF SR 2972 (GR,L,Inductance loop,15,0,93
8638,,,,,15,0,00000000,1,North,155,37,1R,Rural: Principal Arterial - Interstate,000000100173,Y,4,Other lanes,34.5082,79.2992,001000009577,1089.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000095,,P,Planning or traffic statistics purposes,S,,,,,,,L,7701,377701,1.70 MILES SOUTH OF NC 130,P,Piezoelectric,15,3,0
8650,,,,,1,0,00000000,5,South,181,37,7R,Rural: Local System,,N,0,Data with lanes combined,36.3964,78.3244,004000150190,213.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,3,00001501,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A9001,0.20 MILES SOUTH OF US 1 (BROA,L,Inductance loop,15,0,93
8701,,,,,15,0,00000000,1,North,127,37,1R,Rural: Principal Arterial - Interstate,,N,1,Outside (rightmost) lane,35.8713,77.9544,001000009563,7771.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000095,,P,Planning or traffic statistics purposes,S,,,,,,,L,3011,373011,2.60 MILES NORTH OF NC 97,P,Piezoelectric,15,6,4
9136,,,,,1,0,00000000,5,South,29,37,3R,Rural: Principal Arterial - Other,,N,0,Data with lanes combined,36.5146,76.359,002000001714,11105.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,2,2,2,00000017,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,1028,0W1401,0.50 MILES NORTH OF SR 1231 (M,L,Inductance loop,15,0,4
9209,,,,,1,0,00000000,1,North,119,37,3U,Urban: Principal Arterial - Other,000000100901,Y,0,Data with lanes combined,35.2451,80.8928,003000002759,12641.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,3,00000027,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A5985,0.25 MILES SOUTH OF I-85,L,Inductance loop,15,99,78
9225,,,,,1,0,00000000,5,South,15,37,4R,Rural: Minor Arterial,,N,0,Data with lanes combined,36.0796,76.9776,002000001307,29042.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,1,1,0,0,2,00000013,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A0701,0.10 MILES SOUTH OF NC 305,L,Inductance loop,15,14,54
9324,,,,,1,2,00000029,5,South,81,37,2U,Urban: Principal Arterial - Other Freeways or Expressways,,N,0,Data with lanes combined,36.0263,79.8112,001900008540,22606.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,3,3,0,0,1,00000085,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A4003,0.40 MILES SOUTH OF I-40,L,Inductance loop,15,11,93
9458,,,,,1,0,00000000,3,East,71,37,5U,Urban: Collector,,N,0,Data with lanes combined,35.2016,81.254,004000112635,1933.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,3,00001126,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A3501,0.10 MILES WEST OF SR 1113 (BO,L,Inductance loop,15,0,93
9507,,,,,15,0,00000000,7,West,147,37,2U,Urban: Principal Arterial - Other Freeways or Expressways,000000100611,Y,2,Other lanes,35.6492,77.4195,002000026473,26300.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000264,,P,Planning or traffic statistics purposes,S,,,,,,,L,7301,377301,0.90 MILES WEST OF NC 33,P,Piezoelectric,15,4,97
9667,,,,,1,0,00000000,5,South,63,37,4U,Urban: Minor Arterial,,N,0,Data with lanes combined,36.0195,78.9362,004000132131,1279.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,3,00001321,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A3103,0.40 MILES NORTH OF NC 147 (DU,L,Inductance loop,15,0,93
10008,,,,,1,0,00000000,5,South,141,37,4R,Rural: Minor Arterial,,N,0,Data with lanes combined,34.4518,78.0513,002000042170,13934.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,2,2,2,2,2,00000421,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,7002,0W7002,0.40 MILES SOUTH OF NC 210,L,Inductance loop,15,0,4
10107,,,,,1,0,00000000,5,South,143,37,3R,Rural: Principal Arterial - Other,,N,0,Data with lanes combined,36.2202,76.3812,002000001771,22352.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,2,00000017,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A7101,0.30 MILES WEST OF SR 1303 (WO,L,Inductance loop,15,0,54
10132,,,,,15,0,00000000,5,South,171,37,1R,Rural: Principal Arterial - Interstate,,N,3,Other lanes,36.4566,80.7694,001000007785,24116.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000077,,P,Planning or traffic statistics purposes,S,,,,,,,L,5826,375826,2.25 MILES SOUTH OF NC 89 (WES,P,Piezoelectric,15,11,3
10145,,,,,1,0,00000000,7,West,61,37,3R,Rural: Principal Arterial - Other,,N,0,Data with lanes combined,34.9473,77.8793,003000002430,30886.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,3,00000024,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A3003,0.10 MILES WEST OF SR 1737 (DO,L,Inductance loop,15,0,7
10170,,,,,1,0,00000000,1,North,119,37,4U,Urban: Minor Arterial,,N,0,Data with lanes combined,35.2343,80.8061,005000095459,2196.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,7,00000000,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A5980,0.03 MILES NORTH OF MARGUERITE,L,Inductance loop,15,99,68
10217,,,,,15,0,00000000,5,South,63,37,2U,Urban: Principal Arterial - Other Freeways or Expressways,,N,2,Other lanes,35.9577,78.864,003000014731,10725.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,3,00000147,,P,Planning or traffic statistics purposes,S,,,,,,,L,3102,373102,1.30 MILES NORTH OF SR 1954 (E,P,Piezoelectric,15,11,4
10239,,,,,15,0,00000000,5,South,35,37,2U,Urban: Principal Arterial - Other Freeways or Expressways,000000100651,Y,1,Outside (rightmost) lane,35.7202,81.3559,002000032117,21993.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000321,,P,Planning or traffic statistics purposes,S,,,,,,,L,1701,371701,0.10 MILES SOUTH OF US 70,P,Piezoelectric,15,9,3
10388,,,,,15,0,00000000,1,North,29,37,3R,Rural: Principal Arterial - Other,,N,2,Other lanes,36.5146,76.359,002000001714,11105.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000017,,P,Planning or traffic statistics purposes,S,,,,,,,L,1028,371028,0.50 MILES NORTH OF SR 1231 (M,P,Piezoelectric,15,12,4
10556,,,,,15,0,00000000,1,North,105,37,3R,Rural: Principal Arterial - Other,,N,4,Other lanes,35.5866,79.1233,002000000152,30983.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000001,,P,Planning or traffic statistics purposes,S,,,,,,,L,0900,370900,0.10 MILES SOUTH OF SR 1423 (F,P,Piezoelectric,15,9,4
10699,,,,,1,0,00000000,7,West,183,37,1U,Urban: Principal Arterial - Interstate,000000100089,Y,0,Data with lanes combined,35.8423,78.7856,001000004091,5006.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,1,1,0,0,1,00000040,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A9102,1.45 MILES WEST OF SR 1652 (HA,L,Inductance loop,15,99,93
10807,,,,,15,0,00000000,5,South,185,37,1R,Rural: Principal Arterial - Interstate,000000102284,Y,3,Other lanes,36.5358,78.1901,001000008592,15765.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000085,,P,Planning or traffic statistics purposes,S,,,,,,,L,9201,379201,0.10 MILES EAST OF US 1,P,Piezoelectric,15,8,0
11057,,,,,1,0,00000000,1,North,181,37,7R,Rural: Local System,,N,0,Data with lanes combined,36.3964,78.3244,004000150190,213.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,3,00001501,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A9001,0.20 MILES SOUTH OF US 1 (BROA,L,Inductance loop,15,0,93
11067,,,,,15,0,00000000,5,South,99,37,3U,Urban: Principal Arterial - Other,,N,1,Outside (rightmost) lane,35.2965,83.1802,003000010749,46234.0,2,Automated (telemetry),0,,0,,0,,Y,1,1,1,1,3,00000107,,P,Planning or traffic statistics purposes,S,,,,,,,L,1024,371024,0.30 MILES NORTH OF SPEEDWELL,P,Piezoelectric,15,4,1
11090,,,,,1,0,00000000,1,North,159,37,3U,Urban: Principal Arterial - Other,000000102263,Y,0,Data with lanes combined,35.609,80.5387,002000002979,14130.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,2,2,0,0,2,00000029,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A7902,0.50 MILES SOUTH OF SR 1503 (G,L,Inductance loop,15,0,54
11102,,,,,1,2,00000076,3,East,47,37,3R,Rural: Principal Arterial - Other,,N,0,Data with lanes combined,34.3508,78.7008,002000007423,28675.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,2,00000074,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A2301,0.50 MILES EAST OF US 701,L,Inductance loop,15,5,60
11131,,,,,15,0,00000000,1,North,37,37,3R,Rural: Principal Arterial - Other,,N,4,Other lanes,35.7114,79.429,002000042118,25773.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000421,,P,Planning or traffic statistics purposes,S,,,,,,,L,2824,372824,1.60 MILES SOUTH OF US 64,P,Piezoelectric,15,11,3
11141,,,,,1,0,00000000,7,West,127,37,5R,Rural: Major Collector,,N,0,Data with lanes combined,35.8659,78.0984,003000009763,14296.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,3,00000097,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A6302,0.10 MILES EAST OF NC 581,L,Inductance loop,15,0,54
11181,,,,,15,0,00000000,5,South,35,37,2U,Urban: Principal Arterial - Other Freeways or Expressways,000000100651,Y,2,Other lanes,35.7202,81.3559,002000032117,21993.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000321,,P,Planning or traffic statistics purposes,S,,,,,,,L,1701,371701,0.10 MILES SOUTH OF US 70,P,Piezoelectric,15,9,3
11203,,,,,15,1,00000074,1,North,151,37,1R,Rural: Principal Arterial - Interstate,,N,1,Outside (rightmost) lane,35.6024,79.8182,001000007375,10874.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000073,,P,Planning or traffic statistics purposes,S,,,,,,,L,7501,377501,0.80 MILES NORTH OF SR 1121 (N,P,Piezoelectric,15,11,4
11302,,,,,1,0,00000000,1,North,57,37,2U,Urban: Principal Arterial - Other Freeways or Expressways,,N,0,Data with lanes combined,35.8718,80.2542,002000005228,21874.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,2,2,2,00000052,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,0200,0W2802,0.40 MILES SOUTH OF NC 8,L,Inductance loop,15,0,4
11425,,,,,1,0,00000000,1,North,37,37,3R,Rural: Principal Arterial - Other,,N,0,Data with lanes combined,35.7114,79.429,002000042118,25773.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,2,2,2,00000421,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,2824,0W1803,1.60 MILES SOUTH OF US 64,L,Inductance loop,15,0,3
11509,,,,,15,0,00000000,3,East,119,37,4U,Urban: Minor Arterial,,N,4,Other lanes,35.1409,80.9146,004000113859,3451.0,2,Automated (telemetry),0,,0,,0,,N,2,2,2,2,3,00001138,,P,Planning or traffic statistics purposes,S,,,,,,,L,2825,372825,0.40 MILES EAST OF I-78,P,Piezoelectric,15,9,3
11534,,,,,1,0,00000000,5,South,51,37,1R,Rural: Principal Arterial - Interstate,,N,0,Data with lanes combined,35.1363,78.7402,001000009525,32868.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,1,00000095,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A2502,1.20 MILES NORTH OF I-295/US 1,L,Inductance loop,15,0,60
11558,,,,,1,0,00000000,7,West,87,37,1R,Rural: Principal Arterial - Interstate,000000102900,Y,0,Data with lanes combined,35.5894,82.9976,001000004043,34613.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,1,00000040,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A4304,1.00 MILES EAST OF US 276,L,Inductance loop,15,4,98
11678,,,,,1,0,00000000,7,West,67,37,1U,Urban: Principal Arterial - Interstate,000000100043,Y,0,Data with lanes combined,36.04641,80.36744,001000004033,10129.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,3,3,0,0,1,00000040,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A3301,1.25 MILES EAST OF SR1103 (LEW,L,Inductance loop,15,9,93
11723,,,,,15,0,00000000,3,East,149,37,1R,Rural: Principal Arterial - Interstate,000000100007,Y,4,Other lanes,35.2381,82.2048,001000002674,14988.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000026,,P,Planning or traffic statistics purposes,S,,,,,,,L,7401,377401,1.00 MILES EAST OF US 74,P,Piezoelectric,15,9,0
11742,,,,,1,0,00000000,7,West,51,37,7U,Urban: Local System,,N,0,Data with lanes combined,35.0001,78.9495,004000113725,1024.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,3,00001137,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A2503,0.60 MILES WEST OF SR 1003 (CA,L,Inductance loop,15,0,93
11809,,,,,1,3,00000049,5,South,119,37,3U,Urban: Principal Arterial - Other,,N,0,Data with lanes combined,35.2365,80.8388,002000002959,17198.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,2,00000029,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A5984,0.02 MILES NORTH OF I-277 (BRO,L,Inductance loop,15,99,74
11819,,,,,15,0,00000000,3,East,97,37,1U,Urban: Principal Arterial - Interstate,,N,4,Other lanes,35.8061,80.8844,001000004048,18625.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000040,,P,Planning or traffic statistics purposes,S,,,,,,,L,4801,374801,0.50 MILES WEST OF US 21 (SULL,P,Piezoelectric,15,9,3
11886,,,,,1,3,00000045,3,East,95,37,4R,Rural: Minor Arterial,,N,0,Data with lanes combined,35.5466,76.4398,002000026447,8377.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,1,1,2,00000264,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,4701,0W4701,0.10 MILES EAST OF SR 1168 (FI,L,Inductance loop,15,0,4
11923,,,,,1,3,00000027,5,South,85,37,3R,Rural: Principal Arterial - Other,,N,0,Data with lanes combined,35.4109,78.7881,002000042142,25673.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,2,2,0,0,2,00000421,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A4201,1.00 MILE EAST OF US 401 / NC,L,Inductance loop,15,0,93
11969,,,,,15,0,00000000,5,South,71,37,2U,Urban: Principal Arterial - Other Freeways or Expressways,000000100659,Y,1,Outside (rightmost) lane,35.3124,81.1872,002000032135,18443.0,2,Automated (telemetry),0,,0,,0,,Y,3,3,3,3,2,00000321,,P,Planning or traffic statistics purposes,S,,,,,,,L,3501,373501,0.20 MILES SOUTH OF US 321 BUS,P,Piezoelectric,15,5,3
12032,,,,,15,0,00000000,5,South,37,37,3R,Rural: Principal Arterial - Other,,N,1,Outside (rightmost) lane,35.7114,79.429,002000042118,25773.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000421,,P,Planning or traffic statistics purposes,S,,,,,,,L,2824,372824,1.60 MILES SOUTH OF US 64,P,Piezoelectric,15,11,3
12051,,,,,15,2,00000311,5,South,157,37,3R,Rural: Principal Arterial - Other,,N,2,Other lanes,36.4006,79.9387,002000022078,16804.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000220,,P,Planning or traffic statistics purposes,S,,,,,,,L,7803,377803,1.10 MILES SOUTH OF US 311,P,Piezoelectric,15,8,3
12243,,,,,1,0,00000000,3,East,183,37,1U,Urban: Principal Arterial - Interstate,000000100095,Y,0,Data with lanes combined,35.7414,78.5915,001000004091,31475.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,3,3,0,0,1,00000040,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A9109,1.35 MILES WEST OF SR 5220 (JO,L,Inductance loop,15,6,1
12332,,,,,1,0,00000000,3,East,107,37,5R,Rural: Major Collector,,N,0,Data with lanes combined,35.2045,77.7068,003000005553,28221.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,3,00000055,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A5301,0.02 MILES WEST OF SR 1157 (CR,L,Inductance loop,15,0,54
12467,,,,,1,0,00000000,7,West,65,37,7R,Rural: Local System,,N,0,Data with lanes combined,35.9067,77.7842,004000113532,9913.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,3,00001135,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A3201,0.30 MILES EAST OF SR 1002 (OL,L,Inductance loop,15,0,93
12472,,,,,1,2,00000421,7,West,129,37,2U,Urban: Principal Arterial - Other Freeways or Expressways,000000100538,Y,0,Data with lanes combined,34.2305,77.9595,002000007609,24673.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,3,3,0,0,2,00000076,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A6405,0.10 MILES EAST OF US 421 NORT,L,Inductance loop,15,0,71
12578,,,,,15,2,00000023,7,West,113,37,1R,Rural: Principal Arterial - Interstate,000000102642,Y,3,Other lanes,35.8452,82.5239,001000002656,13911.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000026,,P,Planning or traffic statistics purposes,S,,,,,,,L,5601,375601,0.40 MILES WEST OF US 19,P,Piezoelectric,15,10,3
12623,,,,,15,2,00000311,5,South,157,37,3R,Rural: Principal Arterial - Other,,N,1,Outside (rightmost) lane,36.4006,79.9387,002000022078,16804.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000220,,P,Planning or traffic statistics purposes,S,,,,,,,L,7803,377803,1.10 MILES SOUTH OF US 311,P,Piezoelectric,15,8,3
12674,,,,,1,0,00000000,3,East,179,37,6R,Rural: Minor Collector,,N,0,Data with lanes combined,34.9425,80.4967,004000210689,3688.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,3,00002106,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A8901,0.30 MILES WEST OF US 601,L,Inductance loop,15,0,93
12706,,,,,1,0,00000000,1,North,81,37,7R,Rural: Local System,,N,0,Data with lanes combined,35.9638,79.8649,004000113140,770.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,3,00001131,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A4005,0.50 MILES SOUTH OF SR 1113 (K,L,Inductance loop,15,14,93
12797,,,,,15,1,00000074,5,South,151,37,1R,Rural: Principal Arterial - Interstate,,N,4,Other lanes,35.6024,79.8182,001000007375,10874.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000073,,P,Planning or traffic statistics purposes,S,,,,,,,L,7501,377501,0.80 MILES NORTH OF SR 1121 (N,P,Piezoelectric,15,11,4
